datetime,temperature_100m,windspeed_100m,pressure_100m,precipitationrate_0m
2007-01-07 04:00:00,288.38312,4.107788,98042.84,0.0
2007-01-07 05:00:00,287.6751,1.7670212,98060.24,0.0
2007-01-07 06:00:00,286.94876,4.4557037,98110.6,0.0
2007-01-07 07:00:00,286.23462,6.009094,98156.375,0.0
2007-01-07 08:00:00,285.3801,9.808647,98205.81,0.0
2007-01-07 09:00:00,285.3923,9.134193,98221.38,0.0
2007-01-07 10:00:00,285.04745,9.390549,98268.08,0.0
2007-01-07 11:00:00,284.44318,8.868675,98289.13,0.0
2007-01-07 12:00:00,283.784,9.42717,98298.29,0.0
2007-01-07 13:00:00,283.50018,10.895111,98316.6,0.0
2007-01-07 14:00:00,282.5144,8.359016,98338.57,0.0
2007-01-07 15:00:00,283.17056,6.3966827,98341.32,8.789307
2007-01-07 16:00:00,283.5551,6.6591415,98245.19,5.127136
2007-01-07 17:00:00,282.82266,6.7873154,98156.375,36.25598
2007-01-07 18:00:00,283.02713,6.5126495,98119.76,13.184021
2007-01-07 19:00:00,283.02408,5.8229294,98035.52,3.2960205
2007-01-07 20:00:00,283.42386,5.624565,97965.94,0.0
2007-01-07 21:00:00,283.56732,6.0335083,97862.484,1.8311157
2007-01-07 22:00:00,284.3333,6.332588,97792.91,0.36621094
2007-01-07 23:00:00,284.71786,6.665245,97766.35,0.36621094
2007-01-08 00:00:00,285.20615,8.435318,97726.984,5.127136
2007-01-08 01:00:00,285.64868,7.0314636,97611.625,0.7324219
2007-01-08 02:00:00,285.53882,5.554367,97480.695,0.7324219
2007-01-08 03:00:00,286.14,7.51976,97395.55,12.451538
2007-01-08 04:00:00,287.1685,9.268471,97236.24,19.04358
2007-01-08 05:00:00,287.39127,11.584824,97141.02,2.1973267
2007-01-08 06:00:00,287.58966,10.48616,97070.53,22.70575
2007-01-08 07:00:00,287.28445,10.824913,97010.1,8.056885
2007-01-08 08:00:00,287.14713,11.310158,96961.58,2.9297485
2007-01-08 09:00:00,287.13797,11.502426,96956.086,0.0
2007-01-08 10:00:00,287.0159,11.026337,96967.984,0.0
2007-01-08 11:00:00,286.93655,10.9530945,96993.625,0.0
2007-01-08 12:00:00,285.82263,10.812706,97031.16,58.22931
2007-01-08 13:00:00,283.63446,11.221657,97129.125,0.0
2007-01-08 14:00:00,282.97525,9.076202,97205.12,0.0
2007-01-08 15:00:00,282.9081,7.611313,97301.25,0.0
2007-01-08 16:00:00,282.54187,9.070099,97311.32,0.0
2007-01-08 17:00:00,282.20618,9.326454,97352.516,0.0
2007-01-08 18:00:00,281.97424,9.820854,97386.39,0.0
2007-01-08 19:00:00,281.67822,10.553299,97412.945,0.0
2007-01-08 20:00:00,281.3486,10.632652,97455.98,0.0
2007-01-08 21:00:00,280.9305,10.184029,97505.42,0.0
2007-01-08 22:00:00,280.0943,10.284737,97572.25,0.0
2007-01-08 23:00:00,279.0048,12.741478,97661.98,0.0
2007-01-09 00:00:00,278.2296,12.143318,97730.64,0.0
2007-01-09 01:00:00,277.68335,12.143318,97786.49,0.0
2007-01-09 02:00:00,277.01193,11.72216,97826.78,0.0
2007-01-09 03:00:00,277.28964,11.813713,97841.42,0.0
2007-01-09 04:00:00,277.13095,12.222664,97825.86,0.0
2007-01-09 05:00:00,277.40256,11.70385,97818.54,0.0
2007-01-09 06:00:00,276.52362,7.928711,97837.766,0.0
2007-01-09 07:00:00,276.81662,5.2644424,97827.695,0.0
2007-01-09 08:00:00,276.37714,6.7598495,97817.625,0.0
2007-01-09 09:00:00,277.27133,9.057892,97805.72,0.0
2007-01-09 10:00:00,276.66098,7.1565933,97783.75,0.0
2007-01-09 11:00:00,276.52362,6.790367,97764.516,0.0
2007-01-09 12:00:00,275.1442,7.9470215,97715.99,0.0
2007-01-09 13:00:00,275.47687,8.68557,97689.445,0.0
2007-01-09 14:00:00,275.37918,7.238991,97670.22,0.0
2007-01-09 15:00:00,276.45038,5.2522354,97607.96,0.0
2007-01-09 16:00:00,278.24487,6.2532425,97538.375,0.0
2007-01-09 17:00:00,279.57855,7.22068,97461.47,0.0
2007-01-09 18:00:00,280.73825,8.398697,97459.64,0.0
2007-01-09 19:00:00,281.4707,12.6010895,97434.92,0.0
2007-01-09 20:00:00,281.41574,11.728264,97483.445,0.0
2007-01-09 21:00:00,280.5307,11.362038,97585.984,0.0
2007-01-09 22:00:00,279.07193,10.605179,97643.664,0.0
2007-01-09 23:00:00,277.93665,13.528854,97774.59,0.0
2007-01-10 00:00:00,276.9448,11.932739,97832.27,0.0
2007-01-10 01:00:00,276.26117,11.615341,97887.2,0.0
2007-01-10 02:00:00,275.5501,10.156563,98005.31,0.0
2007-01-10 03:00:00,275.6386,10.687584,98053.836,0.0
2007-01-10 04:00:00,275.4036,9.277626,98166.445,0.0
2007-01-10 05:00:00,274.68948,9.085358,98130.74,0.0
2007-01-10 06:00:00,274.1554,10.464798,98215.89,0.0
2007-01-10 07:00:00,273.87158,10.251167,98264.414,0.0
2007-01-10 08:00:00,273.368,8.227791,98297.375,0.0
2007-01-10 09:00:00,273.20016,7.0192566,98453.016,0.0
2007-01-10 10:00:00,272.71188,6.1525345,98498.8,0.0
2007-01-10 11:00:00,272.2541,7.937866,98573.875,0.0
2007-01-10 12:00:00,272.00385,6.6866074,98577.53,0.0
2007-01-10 13:00:00,272.0313,6.131172,98675.5,0.0
2007-01-10 14:00:00,272.23273,2.8290634,98784.445,0.0
2007-01-10 15:00:00,273.1788,5.502487,98805.51,0.0
2007-01-10 16:00:00,273.896,7.3885345,98793.6,0.0
2007-01-10 17:00:00,274.62234,5.0813293,98803.67,0.0
2007-01-10 18:00:00,275.28763,4.5472565,98842.125,0.0
2007-01-10 19:00:00,275.92853,4.1169434,98841.21,0.0
2007-01-10 20:00:00,276.46564,3.5920258,98854.945,0.0
2007-01-10 21:00:00,276.90512,3.094574,98852.2,0.0
2007-01-10 22:00:00,276.96005,2.6154327,98912.625,0.0
2007-01-10 23:00:00,276.73117,1.0345764,98942.84,0.0
2007-01-11 00:00:00,276.99057,0.86367035,98995.94,0.0
2007-01-11 01:00:00,276.57248,1.7700729,99034.39,0.0
2007-01-11 02:00:00,276.31305,1.8097458,99073.766,0.0
2007-01-11 03:00:00,275.85834,2.487259,99083.836,0.0
2007-01-11 04:00:00,275.91022,3.030487,99082.0,0.0
2007-01-11 05:00:00,275.0801,5.087433,99085.664,0.0
2007-01-11 06:00:00,275.18387,4.895172,99125.03,0.0
2007-01-11 07:00:00,274.70474,5.7557907,99150.67,0.0
2007-01-11 08:00:00,274.22864,6.0304565,99192.78,0.0
2007-01-11 09:00:00,274.08215,6.3753204,99225.75,0.0
2007-01-11 10:00:00,274.073,6.4851837,99280.68,0.0
2007-01-11 11:00:00,274.12183,6.1372757,99330.12,0.0
2007-01-11 12:00:00,273.15134,6.756798,99380.48,0.0
2007-01-11 13:00:00,273.2612,5.938904,99413.44,0.0
2007-01-11 14:00:00,272.7302,4.144417,99461.05,0.0
2007-01-11 15:00:00,273.84412,2.795494,99487.59,0.0
2007-01-11 16:00:00,275.57758,2.5971222,99455.55,0.0
2007-01-11 17:00:00,277.08517,2.5818634,99414.35,0.0
2007-01-11 18:00:00,278.08313,3.1983414,99392.375,0.0
2007-01-11 19:00:00,278.76675,3.3021011,99368.57,0.0
2007-01-11 20:00:00,279.13907,3.7324142,99338.36,0.0
2007-01-11 21:00:00,279.194,3.970459,99306.31,0.0
2007-01-11 22:00:00,278.99564,4.886017,99303.57,0.0
2007-01-11 23:00:00,278.83084,5.7679977,99313.64,0.0
2007-01-12 00:00:00,278.5745,5.590988,99318.22,0.0
2007-01-12 01:00:00,278.68436,4.849388,99309.98,0.0
2007-01-12 02:00:00,278.65994,4.55336,99315.47,0.0
2007-01-12 03:00:00,278.79117,4.3275223,99300.82,0.0
2007-01-12 04:00:00,278.79117,3.31736,99254.125,0.0
2007-01-12 05:00:00,278.7576,3.1312027,99222.086,0.0
2007-01-12 06:00:00,278.80948,2.871788,99222.086,0.0
2007-01-12 07:00:00,278.88272,2.1362991,99224.83,0.0
2007-01-12 08:00:00,278.52258,2.313301,99211.09,0.0
2007-01-12 09:00:00,278.3181,2.6429062,99217.51,0.0
2007-01-12 10:00:00,280.07294,3.2593765,99201.02,0.0
2007-01-12 11:00:00,280.0882,4.849388,99220.25,0.0
2007-01-12 12:00:00,280.14008,4.1230545,99228.49,0.0
2007-01-12 13:00:00,280.8298,4.141365,99250.47,0.0
2007-01-12 14:00:00,281.02512,3.8728027,99249.55,0.0
2007-01-12 15:00:00,280.77792,3.3936615,99255.96,0.0
2007-01-12 16:00:00,281.44016,1.8097458,99222.086,0.0
2007-01-12 17:00:00,283.256,1.5625458,99174.48,0.0
2007-01-12 18:00:00,285.64868,3.1434097,99140.6,0.0
2007-01-12 19:00:00,286.4391,3.3570328,99095.734,0.0
